1) byfreeshock =>  by free shock
469) inhisstudyoftheeffectofroughnessontransition =>  in his study of the effect ofr o u g h n e s so n transition
470) thispaperanalyzesthebendingofasectorialplate =>  this paper analyzes the bending of as e
471) anoutlineisgivenoftheusesoffluttermodelsasan =>  an outline is given of the uses off l u t term o de l s as an
472) thevortextuberepresentsasimpledeviceinwhicha =>  the vortex tube represents as im p led e vice in which a
473) anintegralmethodfortherapidcalculationofheat =>  an integral method forth er a p i d calculation of heat
474) recordingshavebeenmadeofthestrainsinducedina =>  recordings have been made of the strains induced in a
475) itwasobservedthatthetwoexistingboundarylayer =>  it was observed that the two existing boundarylayer
476) ananalyticalinvestigationismadeofaprecession =>  an analytical investigation is made of a precession
477) theproblemoftheiondensitydistributionarounda =>  the problem of the ion density distribution around a
478) achangeinflowpatternthatwasobservedasthefree =>  a change inflow pattern that was observed as the free
479) thephenomenonofcumulativedamageunderrepeated =>  the phenomenon of cumulative damage under repeated
480) stationaryconvectivemotionofaconductingfluid =>  stationary convective motion of a conducting fluid
481) variousobservationsandpreliminaryexperiments =>  various observations and preliminary experiments
482) plateswithattachmentstoheaviermembersalongthe =>  plates with attachments to heavier members along the
483) theoreticalandexperimentalresultsarepresented =>  theoretical and experimental results are presented
484) indealingwiththesteadylaminarviscousflowovera =>  in dealing with the steady laminar viscous flow over a
485) amachinefortestingturbinenozzlesbythereaction =>  a machine fort e sting turbine nozzles by there action
486) anapproximatemethodisusedtoobtaintheinjection =>  an approximate method is used too b t a in the injection
487) parallelflowofanelectricallyconductingviscous =>  parallel flow of an electrically conducting viscous
488) thereynoldsequationsofmotionofturbulentflowof =>  there y no ld s equations of motion of turbulent flow of
489) inarecentpaperamethodwaspresentedforobtaining =>  in are cent paper a method was presented for obtaining
490) ageneralmethodofsolutionisgiveninthispaperfor =>  age n er al method of solution is given in this paper for
491) theproblemofstallflutterisapproachedintwoways =>  the problem of stall flutter is approached in two ways
492) steadyapproachtoflutterutilizesexperimentalor =>  steady approach to flutter utilizes experimental or
493) thispaperpresentstheresultsofthefirstpartofan =>  this paper presents there s u l t soft he first part of an
494) thispapersetsoutthemethodnowusedbytheauthorof =>  this papers et so u t them et h o d now used by the author of
495) inthispapertheincompressibleboundarylayerovera =>  in this paper the incompressible boundarylayer over a
496) thisreportdescribesanexperimentalinvestigation =>  this report describes an experimental investigation
497) thestreamfunctionfortheshearflowwithhyperbolic =>  the stream function forth e shear flow with hyperbolic
498) themajorscaleeffectsathighsubsonicandtransonic =>  them a j or scale effects at high subsonic and transonic
499) areviewismadeofexistingliteratureconcernedwith =>  are view is made of existing literature concerned with
500) ordersolutionforthelaminarcompressibleboundary =>  orders o l u tion forth e laminar compressible boundary
501) intheearlierattemptsatfindingthejumpconditions =>  in the earlier attempts at finding the jump conditions
502) thepurposeofthepresentpaperistoderiveasystemof =>  the purpose of the present paper is to derive as y stem of
503) anearlyuniformshearflowwasobtainedintheworking =>  an early uniform shear flow was obtained in the working
504) tunnelresultsareanalyzedtoderiveasemiempirical =>  tunnel results area n al y z e d to derive as e m i empirical
505) theauthorstudiestheproblemoffindingtheshapeofa =>  the authors t u d i e s the problem off in d ing the shape of a
506) theaerodynamicproblemsassociatedwithpropulsion =>  the aerodynamic problems associated with propulsion
507) theexperimentallydemonstratedriseandsubsequent =>  the experimentally demonstrated rise and subsequent
508) thedistributionofdeflectionandbendingmomentina =>  the distribution of deflection and bending moment in a
509) severalmethodshavebeendevelopedforcomputingthe =>  several methods have been developed for computing the
510) theauthorsrepeattheearliercalculationsofpiercy =>  the authors repeat the earlier calculations of piercy
511) afterabriefreviewofmethodsofcalculatingtheflow =>  after ab r i e f review of methods of calculating the flow
512) theweissingermethodfordeterminingadditionalspan =>  the weissinger method for determining additional span
513) athighspeedstheturbulentboundarylayerwashingthe =>  at highspeed s the turbulent boundarylayer washing the
514) anexpressionhasbeenderivedforthemassflowthrough =>  an expression has been derived forth e mass flow through
515) anexactsolutionandacloselyconcurringapproximate =>  an exact solution and a closely concurring approximate
516) atheoreticalanalysisismadeoftheconstantpressure =>  at he or et i cal analysis is made of the constant pressure
517) directmeasurementsofsupersoniclocalskinfriction =>  direct measurements of supersonic local skinfriction
518) thedetachedshockinfrontofabluntbodyinhypersonic =>  the detached shock in front of ab l u n t body in hypersonic
519) thisnotereferstopaperofsametitlebyfeldmaninarsj =>  this note refers top a per of same title by feldman in ars j
520) thisnoteattemptstoextendthediscussionbystatinga =>  this note attempts to extend the discussion by stating a
521) amodifiedtechniquefortheoperationofaguntunnelis =>  a modified technique forth e operation of a gun tunnel is
522) bodytheoryisextendedtoderivefirstapproximations =>  body theory is extended to derive first approximations
523) thispaperisanattempttobringtogethertheimportant =>  this paper is an attempt to bring together the important
524) thispaperwillbeconcernedwithsomepropertiesofthe =>  this paper will be concerned with some properties of the
525) athypersonicspeedsthedragareaofabluntnoseismuch =>  at hypersonic speeds the drag area of ab l u n tn o s e is much
526) thefundamentalinvestigationsofvonkarmanandtsien =>  the fundamental investigations of von karman and tsien
527) aphysicalflowmodelisdevisedbasedontheconceptsof =>  a physical flow model is devised based on the concepts of
528) bodyapproximationoflinearizedcompressibleflowis =>  body approximation of linearized compressibleflow is
529) thespatialdistributionofnoisesourcesalongajetis =>  the spatial distribution of noise sources along a jet is
530) inthisreportatheoryofthinairfoilsofsmallcamberis =>  in this report at he or y of thin airfoils of small camber is
531) ithasbeenestablishedinthepastthatthereisacertain =>  it has been established in the past that there is a certain
532) cylindersinfreeflightinapressurizedrangehavebeen =>  cylinders in free flight in a pressurized range have been
533) thereareinsupersonicaerodynamicsmanysituationsof =>  there are in supersonic aerodynamics many situations of
534) acorrectionismadefortheequationtocomputetheratio =>  a correction is made forth e equation to compute the ratio
535) pressuresweresimultaneouslymeasuredinthevariable =>  pressures were simultaneously measured in the variable
536) analyticalpredictionsaregivenforthedevelopmentof =>  analytical predictions are given forth e development of
537) manyofthephenomenathatoccurintheworldaroundusare =>  many of the phenomena that occur in the world around us are
538) thevelocitycomponentsofthefluidfarfromtheairfoil =>  the velocitycomponent soft he fluid far from the airfoil
539) flutterresearchonreflectionplanemodelsofstraight =>  flutter research on reflection plane models of straight
540) thepositionandstrengthofthefrontshockwaveatlarge =>  the position and strength of the fronts h oc k wave atlarge
541) knownthatwhentheflowiseverywheresubsonicinafield =>  known that when the flow is everywhere subsonic in a field
542) thispaperpresentsthesolutionoftheheatflowproblem =>  this paper presents the solution of the heat flow problem
543) stiffeneraluminumalloypanelsconsistingoffourbays =>  stiffener aluminumalloy panels consisting off our bays
544) inthispaperatheoreticalsolutionisdevelopedforthe =>  in this paper at he or et i cal solution is developed forth e
545) thereportisconcernedwiththevortexflowwhicharises =>  there p or t is concerned with the vortex flow which arises
546) thetransienttemperaturedistributionandthethermal =>  the transient temperature distribution and the thermal
547) resultsaregivenofpressuremeasurementsandboundary =>  results are given of pressure measurements and boundary
548) theeffectsofcontaminationofheliumbyairuponstatic =>  the effects of contamination of helium by air upon static
549) themethodpresentedinthepreviouspartsisemployedto =>  them et h o dp re s e n t e d in the previous parts is employed to
550) flowpropertiesbehindshockwavescausedbybluffbodies =>  flow properties behind shockwaves caused by bluff bodies
551) aninvestigationtodeterminethefeasibilityofusingan =>  an investigation to determine the feasibility of using an
552) sonicflowsaroundslenderbodiesandhaspointedoutthat =>  sonic flows around slender bodies and has pointed out that
553) sponsoredexperimentalinvestigationofthelocationof =>  sponsored experimental investigation of the location of
554) forafamilyofconesofvarioussemiapexanglesbluntedby =>  for a family of cones of various semiapex angles blunted by
555) thereportdescribesexperimentsdevisedtoinvestigate =>  there p or t describes experiments devised to investigate
556) thispapershowshowtocalculatetherateofheattransfer =>  this papers how show to calculate the rate of heattransfer
557) experimentsarereportedontheinteractionofturbulent =>  experiments are reported on the interaction of turbulent
558) themechanicsofthekinetictheoryofgasesisemployedto =>  them e
559) experimentalresultsgatheredinrecentyearsforbinary =>  experimental results gathered in recent years for binary
560) ananalysiswasmadeoftheflowconditionsdownstreamofa =>  an analysis was made of the flow conditions downstream of a
561) articleisacontinuationofanearliernoteonpapersbyli =>  article is a continuation of an earlier note on papers by li
562) publishedworkoncreepbucklinghasimpliedthatfailure =>  published work on creepbuckling has implied that failure
563) thebucklingofathincylindricalshellsimplysupported =>  the buckling of at h in cylindrical shells imply supported
564) thelagrangianthermodynamicequationsofirreversible =>  the lagrangian thermodynamic equations of irreversible
565) thepapersetsdowntheequationsofmotionforasymmetric =>  the papers et s down the equations of motion for asymmetric
566) insomecoolingproblemsassociatedwithhighenergyflows =>  in some cooling problems associated with highenergy flows
567) thefreeturbulentmixingofasupersonicjetofmachnumber =>  the free turbulent mixing of as up er sonic jet of machnumber
568) theresultsofexperimentsonaxialloadingofcylindrical =>  there s u l t so f experiments on axial loading of cylindrical
569) thispapersummarizestheopticalandphysicalproperties =>  this papers u mm a r i z e s the optical and physical properties
570) aninvestigationofthebasepressurebehindwedgesatmach =>  an investigation of the base pressure behind wedges atm a
571) thereportisafirstattempttodeviseacalculationmethod =>  there p or t is a first attempt to devise a calculation method
572) aprogramtoinvestigatetheaerodynamicheattransferofa =>  a program to investigate the aerodynamic heattransfer of a
573) amethodofcalculationisdevelopedtocomputetheoverall =>  a method of calculation is developed to compute the overall
574) theproblemofaccuratelypredictingthepressureandwake =>  the problem of accurately predicting the pressure and wake
575) recentexperimentalstudiesoftransitionfromlaminarto =>  recent experimental studies of transition from laminar to
576) thepurposeofthisresearchprogramwastoinvestigatethe =>  the purpose of this research program was to investigate the
577) theconditionofimmediatefreezingofthemassfractionof =>  the condition of immediate freezing of them as s fraction of
578) theproblemofpredictingthemeanvelocityonstreamlines =>  the problem of predicting them e an velocity on streamlines
579) thegeneralsolutionofthestrongblastwaveisfoundinthe =>  the general solution of the strong blast wave is found in the
580) theoryandexperimentsoftheflutterofabuckledplateare =>  theory and experiments of the flutter of ab u
581) rangehypervelocityvehiclesarestudiedintermsoftheir =>  range hypervelocity vehicles are studied inter ms of their
582) theproblemofoptimalzoomclimbmaneuveringofaturbojet =>  the problem of optimal zoom climb maneuvering of at u r b o jet
583) aircraftstructureslocatedinthenearnoisefieldofajet =>  aircraft structures located in then e a r noise field of a jet
584) assumingthatcontinuumflowenergyequationinaboundary =>  assuming that continuum flow energy equation in ab o u nd ary
585) whencertainconditionsarefulfilledforthicknessratio =>  when certain conditions are fulfilled forth i
586) inthischapterweshallmainlyconsiderproblemsofsteady =>  in this chapter we shall mainly consider problems of steady
587) layerheattransferisanalyzedforthecaseofasinusoidal =>  layer heattransfer is analyzed forth e case of as in us o i d al
588) theactionofacolumnintheplasticrangeisanalyzedonthe =>  the action of a column in the plastic range is analyzed on the
589) amosttroublesomeparadoxhasexistedforanumberofyears =>  a most troublesome paradox has existed for an u m ber of years
590) thetemperatureisdeterminedasafunctionofpositionand =>  the temperature is determined as a function of position and
591) thegeneralbendingtheoryofshellsundertheinfluenceof =>  the general bending theory of shells under the influence of
592) thisisalucidintroductiontotheeffectsofdissociation =>  this is al u
593) anapproximationtotheheattransferrateacrossalaminar =>  an approximation to the heattransfer rate across al a m in a r
594) thisisasurveyofcertainrecentadvancesmadeinthestudy =>  this is as u r v e y of certain recent advances made in the study
595) transfercoefficientsandrecoveryfactorsarepresented =>  transfer coefficients and recovery factors are presented
596) ananalyticalandexperimentalstudyismadeforinelastic =>  an analytical and experimental study is made for inelastic
597) alargeproportionofthecurrentresearchprogrammeofthe =>  al a r g e proportion of the current research programme of the
598) flowpropertiesinnozzleswerecalculatedandchartedfor =>  flow properties in nozzles were calculated and charted for
599) theuseofmodelsforstructuraltestinvestigationsinthe =>  the use of models for structural test investigations in the
600) inthefirstpartoftheinvestigationananalysisismadeof =>  in the first part of the investigation an analysis is made of
601) theproblemstudiedmayberegardedasaproblemofgeometry =>  the problems t u d i e d may ber e g a r de d as a problem of geometry
602) amethodwhichmaybeusedathighsupersonicmachnumbersis =>  a method which may be used at high supersonic machnumber s is
603) amethodispresentedfortheestimationoffatiguedamageto =>  a method is presented forth e estimation off at i g u e damage to
604) thepostbucklingcharacteristicsofanaxiallycompressed =>  the postbuckling characteristics of an axially compressed
605) thetorsionalbucklingstrengthofacylinderintheplastic =>  the torsional buckling strength of a cylinder in the plastic
606) thisisanaccountofaninvestigationinwhichoscillations =>  this is an account of an investigation in which oscillations
607) transitionfromlaminartoturbulentflowinthehypersonic =>  transition from laminar to turbulent flow in the hypersonic
608) asolutionisgivenforthecaseofthelaminarboundarylayer =>  as o l u tion is given forth e case of the laminarboundary layer
609) theprofileofasymmetricairfoilofunitlengthwitharound =>  the profile of asymmetric airfoil of unit length with around
610) newmethodsarepresentedfortheanalysisoftransientheat =>  new methods are presented forth e analysis of transient heat
611) analogymethodforthesolutionofelasticplateproblemsis =>  analogy method forth e solution of elastic plate problems is
612) asimpleformulaisgivenforthepressuredistributiononan =>  as im p l e formula is given forth e pressuredistribution on an
613) thisreportpresentsatheoreticalanalysisoftheboundary =>  this report presents at he or et i cal analysis of the boundary
614) formulasfortheinviscidflowpropertiesonthesurfaceofa =>  formulas forth e inviscidflow properties on the surface of a
615) resultsaregivenofawindtunnelprogrammemadetostudythe =>  results are given of a windtunnel programme made to study the
616) thetheoryofthesteadyflowofaviscouscompressiblefluid =>  the theory of the steady flow of a viscous compressible fluid
617) theinterferencebetweenthewingsandthetailsurfacesofa =>  the interference between the wings and theta i l surfaces of a
618) thispaperisconcernedwiththeproblemofobtaininghigher =>  this paper is concerned with the problem of obtaining higher
619) atheoreticalanalysishasbeenmadeforanimpacttubeofthe =>  at he or et i cal analysis has been made for an impact tube of the
620) paperisagoodreviewofknowledgetodateonconvectiveheat =>  paper is ago o d review of knowledge to date on convective heat
621) thisanalysisincludesthespecificcontributionsofatoms =>  this analysis includes the specific contributions of atoms
622) thetheoryfortheplasticbucklingofcolumnswhichappears =>  the theory forth e plastic buckling of columns which appears
623) anexperimentalstudyofawinginapropellerslipstreamwas =>  an experimental study of a wing in a propellers lip stream was
624) transitionalheattransferonabluntbodyunderhypersonic =>  transitional heattransfer on ab l u n t body under hypersonic
625) experiencehasshownthatthefluctuatingloadsinducedbya =>  experience has shown that the fluctuating loads induced by a
626) chartsarepresentedfordeterminingcompletetemperature =>  charts are presented for determining complete temperature
627) ontheforebodyofmanypracticallyinterestinghypersonic =>  on the forebody of many practically interesting hypersonic
628) byexpandingthevelocitypotentialinanasymptoticseries =>  by expanding the velocity potential in an asymptotic series
629) conditionsofthermodynamicequilibriumisextendedtonon =>  conditions of thermodynamic equilibrium is extended to non
630) thepurposeofthepresentnoteistogiveanexactsolutionof =>  the purpose of the present note is to give an exact solution of
631) theproblemsofheattransferinturbulentshearflowalonga =>  the problems of heattransfer in turbulent shear flow along a
632) dataarepresentedwhichwereobtainedfromatransonicwind =>  data are presented which were obtained from at r an sonic wind
633) inmanywingvibrationanalysesitisfoundnecessarytotake =>  in many wing vibration analyses it is found necessary to take
634) asimpleandrelativelyaccurateanalyticapproximationis =>  as im p l e and relatively accurate analytic approximation is
635) theeffectsofstreamvelocitygradientsonairfoilmaximum =>  the effects of stream velocity gradients on airfoil maximum
636) aparticleapproachisusedtostudytheflowpatternarounda =>  apart i
637) asanaidtotheaerodynamieistinthedesignofairframesfor =>  as an aid to the aerodynamieist in the design of airframe s for
638) theeffectsofasmalljetofairexhaustingfromthenoseofan =>  the effects of as m all jet of air exhausting from then o s e of an
639) atheoryisdevelopedwhichdescribestheeffectofageneral =>  at he or y is developed which describes the effect of age n er al
640) axisymmetricviscousflowpastunyawedveryslenderbodies =>  axisymmetric viscous flow past unyawed very slender bodies
641) earlierstudiesassumeanaverageheatofformationofatoms =>  earlier studies assume an average heat off or mat ion of atoms
642) onafinnedmissilewhosewingsaredeflectedintoanaileron =>  on a finned missile whose wings are deflected into an aileron
643) itwillbeshownthatthedifferentialequationsforaheated =>  it will be shown that the differential equations for a heated
644) supporteddiscussionoftheuseofanintermediateelliptic =>  supported discussion of the use of an intermediate elliptic
645) thepresentreportdescribesanewmethodfortheprediction =>  the present report describes an e w method forth e prediction
646) plateproblemsinvolvingfreeedgeshavebeenhistorically =>  plate problems involving free edges have been historically
647) highreynoldsnumberhypersonicstagnationflowoverablunt =>  high reynolds number hypersonic stagnation flow over ab l u n t
648) anumberofbluntbodieshavingshapesthatmaybesuitablefor =>  an u m ber of blunt bodies having shapes that may be suitable for
649) asimplifiedmethodhasbeendevisedfordeterminationofthe =>  asimplified method has been devised for determination of the
650) authordiscussestheproblemofdeflectionofacantilevered =>  author discusses the problem of deflection of a cantilevered
651) thetrailleftintheatmospherebyabodymovingathypersonic =>  the trail left in the atmosphere by ab o dy moving at hypersonic
652) itisnowknownthatthehypersonicsimilaritylawderivedfor =>  it is now known that the hypersonic similarity law derived for
653) experimentalandtheoreticalresearchhasbeenconductedon =>  experimental and theoretical research has been conducted on
654) inthecontinuousquestforimprovedmeansoftransportation =>  in the continuous quest for improved means of transportation
655) themixinganddivergenceofasupersonicjetexhaustinginto =>  them i x ing and divergence of as up er sonic jet exhausting into
656) dimensionalincompressibleflowoffluidalongthecornerof =>  dimensional incompressible flow off l u i d along the corner of
657) theoreticalblockagecorrectionsarepresentedforabodyof =>  theoretical blockage corrections are presented for ab o dy of
658) areexaminationhasbeenmadeoftheuseofsimpleconceptsfor =>  are examination has been made of the use of simple concepts for
659) circularcylindricalshellsisexpressedinaformanalogous =>  circularcylindrical shells is expressed in a form analogous
660) thedesignofstructurestoresistjetnoisefatiguedemandsa =>  the design of structures to resist jet noise fatigue demands a
661) thepurposeofthispaperistopresentamethodofcalculation =>  the purpose of this paper is top re s e n t a method of calculation
662) paperdescribesresultsofnumericalsolutionoftheviscous =>  paper describes results of numerical solution of the viscous
663) observationsofrotatingstallhaveshownthatawidevariety =>  observations ofr o t at ing stall have shown that a wide variety
664) numericalcomputationshavebeenperformedfortheboundary =>  numerical computations have been performed forth e boundary
665) availabledataontheeffectsofsuctionandinjectiononskin =>  available data on the effects of suction and injection on skin
666) atheoreticalstudyismadeoftheeffectofpressuregradient =>  at he or et i cal study is made of the effect of pressure gradient
667) ananalysisismadeofexperimentallydeterminedmodeshapes =>  an analysis is made of experimentally determined modes h a p e s
668) thispaperillustratesthedevelopmentandapplicationofan =>  this paper illustrates the development and application of an
669) thispaperdevelopsanewmethodfordeterminingthebuckling =>  this paper develops an e w method for determining the buckling
670) theequationsobtainedbychienforthenonlineardeflection =>  the equations obtained by chien forth e nonlinear deflection
671) aformulaforthesupersonicvelocityfieldintermsofagiven =>  a formula forth e supersonic velocity field inter ms of a given
672) sincetheintroductionofmomentummethodsinboundarylayer =>  since the introduction of momentum methods in boundarylayer
673) theproblemofpanelflutterofrectangularsimplysupported =>  the problem of panel flutter ofr e
674) measurementsofstagnationpointheattransferarepresented =>  measurements of stagnationpoint heattransfer are presented
675) abriefreviewismadeoftheavailableinformationconcerning =>  ab r i e f review is made of the available information concerning
676) anewmethodisproposedtocalculatethevelocityandpressure =>  an e w method is proposed to calculate the velocity and pressure
677) theuseofpistontheorywasrecentlyadvocatedforsupersonic =>  the use of piston theory was recently advocated for supersonic
678) treatsthegeneralclassofflowproblemscharacterizedbythe =>  treats the general class off low problems characterized by the
679) inordertosimplifytheprocessofestimatingtheaerodynamic =>  in order to simplify the process of estimating the aerodynamic
680) atheoryisderivedtopredictthestressesanddeformationsof =>  at he or y is derived top re d i
681) theintegralmethodofbelotserkovskiihasbeencarriedoutto =>  the integral method of belotserkovskii has been carried out to
682) astudyhasbeenmadeofthesideforcegeneratedbyinjectionof =>  as t u dy has been made of the sideforce generated by injection of
683) atheoryispresentedtopredictthebucklingtemperatureofan =>  at he or y is presented top re d i
684) anapproximatetheoryonthephenomenaofinteractionbetween =>  an approximate theory on the phenomena of interaction between
685) theeffectsofcompressibilityonthesteadymotionofahighly =>  the effects of compressibility on the steady motion of a highly
686) calculationsarepresentedfortheproblemofthestabilityof =>  calculations are presented forth e problem of the stability of
687) ageneraltheoryisdevelopedforthecaseoflargedeflections =>  age n er al theory is developed forth e case of large deflections
688) presentednoteproposesalinearizedreactionrateparameter =>  presented note proposes al in e a r i z e d reaction rate parameter
689) paperstudiescompressiblelaminarboundarylayerinadverse =>  papers t u d i e s compressible laminarboundary layer in adverse
690) afourieranalysisofthelinearisedtheoryexpressionforthe =>  a fourier analysis of the linearised theory expression forth e
691) atheoryhasbeendevelopedforsmallbendingandstretchingof =>  at he or y has been developed for small bending and stretching of
692) controlofflowseparationbyfluidinjectionatonediverging =>  control off low separation by fluid injection at one diverging
693) ananalysisismadeofturbulentconstantpressuremixingfora =>  an analysis is made of turbulent constant pressure mixing for a
694) theprincipleoftheminimumofthetotalpotentialisemployed =>  the principle of them in im u m of the total potential is employed
695) thepresentpapercontainsasetoftablesofcompleteelliptic =>  the present paper contains as et of tables of complete elliptic
696) completeinviscidflowfieldsaboutthreemodelaxisymmetric =>  complete inviscidflow fields about three model axisymmetric
697) ageneralizedwaveequationisderivedforsounddisturbances =>  age n er al i z e d wave equation is derived for sound disturbances
698) resultsaregivenofmeasurementsinthecompressedairtunnel =>  results are given of measurements in the compressed air tunnel
699) ofthecharacteristicequationsoftheaxiallysymmetricflow =>  of the characteristic equations of the axiallysymmetric flow
700) simplemodelsareemployedtobringoutthelargeandimportant =>  simple models are employed to bring out the large and important
701) analyseshavebeenmadeoftheeffectsofcoupledchemicalrate =>  analyses have been made of the effects of coupled chemical rate
702) accountsformolecularsizeandintermolecularforceeffects =>  accounts form o l e
703) shockshapeswereobservedandstaticpressuresweremeasured =>  shocks h a p e s were observed and staticpressure s were measured
704) anapproximatemethodofpredictingtheinterferencebetween =>  an approximate method of predicting the interference between
705) anextensionofclassicalhypersonicsimilitudeisdeveloped =>  an extension of classical hypersonic similitude is developed
706) atheoreticalstudyismadeofthebucklingofasandwichsphere =>  at he or et i cal study is made of the buckling of as and w i
707) aninvestigationhasbeenmadetoexplorethepossibilitiesof =>  an investigation has been made to explore the possibilities of
708) inthepresentinvestigationoftheflowofairinathinlaminar =>  in the present investigation of the flow of air in at h in laminar
709) authorconsiderstheequationoftheyawingmotionofamissile =>  author considers the equation of they a wing motion of a missile
710) amethodofcalculatingthetemperatureofthickwallshasbeen =>  a method of calculating the temperature of thick walls has been
711) aneffectivemeansofprotectingthesurfaceofahypersonicre =>  an effective means of protecting the surface of a hypersonic re
712) ithasbeenshownthattransversemagneticfieldsofpractical =>  it has been shown that transverse magnetic fields of practical
713) theproblemofthermalbucklingofshellsarisesinconnection =>  the problem of thermal buckling of shells arises in connection
714) theformulasofsubsonicandsupersonicwingtheoryforsource =>  the formulas of subsonic and supersonic wing theory for source
715) steadyflowaboutcurvedairfoilsathighsupersonicspeedsis =>  steady flow about curved airfoils at high supersonic speeds is
716) authorintroduceshissurveybyabriefreviewofthehistoryof =>  author introduces his survey by ab r i e f review of the history of
717) ananalyticalstudyismadeofviscousflowinslenderchannels =>  an analytical study is made of viscous flow in slender channels
718) anexperimentalinvestigationhasbeenmadeofsomeeffectsof =>  an experimental investigation has been made of some effects of
719) vangorcumhaspointedtointerestingandimportantanalogies =>  van gorcum has pointed to interesting and important analogies
720) thispaperisconcernedwithbucklingofacircularcylinderof =>  this paper is concerned with buckling of a circular cylinder of
721) discussionofseveralformsoftheenergyequationandoftheir =>  discussion of several forms of the energy equation and of their
722) thisreportconcernstheproblemofconstructingsolutionsfor =>  this report concerns the problem of constructing solutions for
723) theuseofamagneticfieldtocontrolthemotionofelectrically =>  the use of a magnetic field to control them o tion of electrically
724) cosmonauticsiscurrentlyverymuchtotheforefrontinthenews =>  cosmonautics is currently very much to the forefront in then e w s
725) experimentalresearchhasbeenconductedontheeffectsofwall =>  experimental research has been conducted on the effects of wall
726) wiremeasurementsinthefreestreamofasupersonicwindtunnel =>  wire measurements in the freestream of as up er sonic windtunnel
727) resonantbreathingfrequenciesandmodeshapesaredetermined =>  resonant breathing frequencies and modes h a p e s are determined
728) basedonthevariationalformulationoflinearthermodynamics =>  based on the variational formulation of linear thermodynamics
729) wingwithsharpleadingedgeshasbeenmadeinordertoascertain =>  wing with sharp leadingedge s has been made in order to ascertain
730) dataarepresentedwhichshowtheeffectofajetonbasepressure =>  data are presented which show the effect of a jet on base pressure
731) thecornellaeronauticallaboratoryisconductingaprogramof =>  the cornell aeronautical laboratory is conducting a program of
732) relationsarepresentedforthecalculationofheattransferat =>  relations are presented forth e calculation of heattransfer at
733) thetemperatureandthermalstressdistributionsareanalyzed =>  the temperature and thermal stress distributions area n al y z e d
734) twomethodsarepresentedfortheanalysisofcomplexlowaspect =>  two methods are presented forth e analysis of complex lowaspect
735) thisveryshortpaperpresentsanapproximateprocedureforthe =>  this very short paper presents an approximate procedure forth e
736) theequationsofmotionfortheflowofanidealdissociatinggas =>  the equations of motion forth e flow of an ideal dissociating gas
737) asurveyofexistinganalyticaltreatmentsofthesupersonicor =>  as u r v e y of existing analytical treatments of the supersonic or
738) thispapergivesabriefsummaryofcurrentloadsinformationat =>  this paper gives ab r i e f summary of current loads information at
739) anumberofapproximatetheoriesforsupersonicandhypersonic =>  an u m ber of approximate theories for supersonic and hypersonic
740) ionizedmoleculesandatomsoftheelementsnitrogenandoxygen =>  ionized molecules and atoms of the elements nitrogen and oxygen
741) manufacturingandmaintainanceofideallysharpleadingedges =>  manufacturing and maintainance of ideally sharp leadingedge s
742) informationonatmosphericturbulenceobtainedfromcounting =>  information on atmospheric turbulence obtained from counting
743) theinfluenceoflocalizedmasstransferatthenoseofaslender =>  the influence of localized mass transfer at then o s e of as lend er
744) briefdescriptionofexperimentsperformedbyusingshocktube =>  brief description of experiments performed by using shock tube
745) thisnotepresentsasimplificationofamethodforcalculating =>  this note presents as im p li f i
746) somenewsolutionsforsteadyincompressiblelaminarboundary =>  some news o l u tions for steady incompressible laminarboundary
747) themethodsoftheclassicalaerofoiltheoryareusedtoderivea =>  them et h o d soft he classical aerofoil theory are used to derive a
748) anexperimentalstudyhasbeenmadetoinvestigatesomeaspects =>  an experimental study has been made to investigates o m e aspects
749) gashypersonicflowparametersforheliumhavebeencalculated =>  gas hypersonic flow parameters for helium have been calculated
750) thepressuredistributionandpressuredragofabluntbodywitha =>  the pressuredistribution and pressure drag of ab l u n t body with a
751) thefirstportionofthispaperdescribesstudiesoftheinternal =>  the first portion of this paper describes studies of the internal
752) withaviewtostudyingtheeffectofstrongtransversecurvature =>  with a view to studying the effect of strong transverse curvature
753) ananalysisispresentedwhichenablesthetemperatureprofiles =>  an analysis is presented which enables the temperature profiles
754) attentionisdrawntoapreviousaccuratesolutiontotheproblem =>  attention is drawn to a previous accurate solution to the problem
755) thesupersonicaerodynamiccharacteristicsofinclinedbodies =>  the supersonic aerodynamic characteristics of inclined bodies
756) authorstudiesthevelocityprofilesmeasuredbyothersinplane =>  authors t u d i e s the velocityprofiles measured by others inplane
757) inanattempttoavoidflowseparationattheleadingedgeofathin =>  in an attempt to avoid flows e para tion at the leadingedge of at h in
758) theaccuracyandrangeofapplicabilityofthelinearizedtheory =>  the accuracy and range of applicability of the linearizedtheory
759) aninvestigationoftransitionandskinfrictiononaninsulated =>  an investigation of transition and skinfriction on an insulated
760) atheoreticalinvestigationhasbeenmadeofageneralmethodfor =>  at he or et i cal investigation has been made of age n er al method for
761) inrecentyearsgreatusehasbeenmadeofapproximatemethodsfor =>  in recent years great use has been made of approximate methods for
762) measurementsofaverageskinfrictionoftheturbulentboundary =>  measurements of averages k in friction of the turbulent boundary
763) thisnotegivesamethodforthederivationofsuitableconstants =>  this note gives a method forth e derivation of suitable constants
764) theequationsdescribingtheflowofanelectricallyconducting =>  the equations describing the flow of an electrically conducting
765) thisreportcontainssomefairlysimpleandeconomicmethodsfor =>  this report contains some fairly simple and economic methods for
